nearest_latitude 
      Frequency   Percent Cum Percent
0          7213 1.877e+00       1.877
1          7490 1.949e+00       3.825
2          7512 1.955e+00       5.780
3          7573 1.970e+00       7.750
4          7400 1.925e+00       9.676
5          7277 1.893e+00      11.569
6          7199 1.873e+00      13.442
7          6806 1.771e+00      15.213
8          7202 1.874e+00      17.087
9          7606 1.979e+00      19.066
10         7521 1.957e+00      21.023
11         7523 1.957e+00      22.980
12         7599 1.977e+00      24.957
13         7476 1.945e+00      26.902
14         7731 2.011e+00      28.914
15         7716 2.008e+00      30.921
16         7892 2.053e+00      32.975
17         7855 2.044e+00      35.018
18         7401 1.926e+00      36.944
19         7858 2.045e+00      38.989
20         8213 2.137e+00      41.126
21         8219 2.138e+00      43.264
22         8185 2.130e+00      45.394
23         7823 2.035e+00      47.429
24         7366 1.917e+00      49.346
25         7621 1.983e+00      51.328
26         7406 1.927e+00      53.255
27         7079 1.842e+00      55.097
28         6829 1.777e+00      56.874
29         6753 1.757e+00      58.631
30         6568 1.709e+00      60.340
31         6454 1.679e+00      62.019
32         6374 1.658e+00      63.677
33         6067 1.579e+00      65.256
34         5926 1.542e+00      66.798
35         5725 1.490e+00      68.287
36         5578 1.451e+00      69.739
37         5249 1.366e+00      71.104
38         5104 1.328e+00      72.432
39         4897 1.274e+00      73.707
40         4785 1.245e+00      74.952
41         4485 1.167e+00      76.118
42         4218 1.097e+00      77.216
43         4324 1.125e+00      78.341
44         4141 1.077e+00      79.418
45         3872 1.007e+00      80.426
46         3889 1.012e+00      81.438
47         3504 9.117e-01      82.349
48         3250 8.456e-01      83.195
49         3090 8.040e-01      83.999
50         2989 7.777e-01      84.777
51         3046 7.925e-01      85.569
52         3127 8.136e-01      86.383
53         3048 7.930e-01      87.176
54         3112 8.097e-01      87.985
55         2980 7.753e-01      88.761
56         3009 7.829e-01      89.544
57         2772 7.212e-01      90.265
58         2763 7.189e-01      90.984
59         2712 7.056e-01      91.689
60         2507 6.523e-01      92.342
61         2507 6.523e-01      92.994
62         2365 6.153e-01      93.609
63         2274 5.917e-01      94.201
64         2192 5.703e-01      94.771
65         2075 5.399e-01      95.311
66         1882 4.897e-01      95.801
67         2004 5.214e-01      96.322
68         1872 4.871e-01      96.809
69         1824 4.746e-01      97.284
70         1667 4.337e-01      97.718
71         1455 3.786e-01      98.096
72         1264 3.289e-01      98.425
73         1279 3.328e-01      98.758
74         1011 2.630e-01      99.021
75          873 2.271e-01      99.248
76          698 1.816e-01      99.430
77          583 1.517e-01      99.581
78          562 1.462e-01      99.728
79          372 9.679e-02      99.824
80          224 5.828e-02      99.883
81          189 4.917e-02      99.932
82          104 2.706e-02      99.959
83           70 1.821e-02      99.977
84           66 1.717e-02      99.994
85           20 5.204e-03      99.999
86            2 5.204e-04     100.000
Total    384343 1.000e+02


approx_diameter 
      Frequency   Percent Cum Percent
1        252719 6.575e+01       65.75
2         51769 1.347e+01       79.22
3         20962 5.454e+00       84.68
4         11295 2.939e+00       87.62
5          7374 1.919e+00       89.53
6          5467 1.422e+00       90.96
7          4238 1.103e+00       92.06
8          3404 8.857e-01       92.95
9          2735 7.116e-01       93.66
10         2290 5.958e-01       94.25
11         1911 4.972e-01       94.75
12         1690 4.397e-01       95.19
13         1471 3.827e-01       95.57
14         1317 3.427e-01       95.91
15         1168 3.039e-01       96.22
16         1070 2.784e-01       96.50
17          913 2.375e-01       96.73
18          883 2.297e-01       96.96
19          774 2.014e-01       97.17
20          708 1.842e-01       97.35
21          668 1.738e-01       97.52
22          573 1.491e-01       97.67
23          527 1.371e-01       97.81
24          536 1.395e-01       97.95
25          472 1.228e-01       98.07
26          459 1.194e-01       98.19
27          382 9.939e-02       98.29
28          390 1.015e-01       98.39
29          355 9.237e-02       98.48
30          327 8.508e-02       98.57
31          287 7.467e-02       98.64
32          257 6.687e-02       98.71
33          268 6.973e-02       98.78
34          244 6.348e-02       98.84
35          214 5.568e-02       98.90
36          231 6.010e-02       98.96
37          212 5.516e-02       99.02
38          174 4.527e-02       99.06
39          182 4.735e-02       99.11
40          163 4.241e-02       99.15
41          179 4.657e-02       99.20
42          147 3.825e-02       99.24
43          150 3.903e-02       99.27
44          149 3.877e-02       99.31
45          124 3.226e-02       99.35
46          123 3.200e-02       99.38
47          107 2.784e-02       99.41
48          105 2.732e-02       99.43
49          109 2.836e-02       99.46
50           97 2.524e-02       99.49
51           90 2.342e-02       99.51
52           87 2.264e-02       99.53
53           95 2.472e-02       99.56
54           74 1.925e-02       99.58
55           68 1.769e-02       99.59
56           61 1.587e-02       99.61
57           58 1.509e-02       99.63
58           70 1.821e-02       99.64
59           57 1.483e-02       99.66
60           53 1.379e-02       99.67
61           50 1.301e-02       99.68
62           54 1.405e-02       99.70
63           59 1.535e-02       99.71
64           38 9.887e-03       99.72
65           51 1.327e-02       99.74
66           38 9.887e-03       99.75
67           40 1.041e-02       99.76
68           34 8.846e-03       99.77
69           44 1.145e-02       99.78
70           28 7.285e-03       99.79
71           25 6.505e-03       99.79
72           29 7.545e-03       99.80
73           22 5.724e-03       99.81
74           24 6.244e-03       99.81
75           31 8.066e-03       99.82
76           23 5.984e-03       99.83
77           25 6.505e-03       99.83
78           26 6.765e-03       99.84
79           21 5.464e-03       99.84
80           15 3.903e-03       99.85
81           20 5.204e-03       99.85
82           23 5.984e-03       99.86
83           23 5.984e-03       99.87
84           13 3.382e-03       99.87
85           10 2.602e-03       99.87
86           15 3.903e-03       99.88
87           19 4.944e-03       99.88
88           18 4.683e-03       99.88
89           18 4.683e-03       99.89
90           20 5.204e-03       99.89
91           17 4.423e-03       99.90
92            9 2.342e-03       99.90
93           16 4.163e-03       99.91
94           10 2.602e-03       99.91
95           12 3.122e-03       99.91
96            7 1.821e-03       99.91
97           10 2.602e-03       99.92
98           11 2.862e-03       99.92
99            9 2.342e-03       99.92
100          10 2.602e-03       99.92
101          15 3.903e-03       99.93
102           5 1.301e-03       99.93
103           5 1.301e-03       99.93
104           5 1.301e-03       99.93
105           6 1.561e-03       99.93
106           6 1.561e-03       99.93
107           7 1.821e-03       99.94
108          12 3.122e-03       99.94
109           8 2.081e-03       99.94
110           7 1.821e-03       99.94
111           5 1.301e-03       99.94
112           3 7.806e-04       99.95
113           6 1.561e-03       99.95
114           9 2.342e-03       99.95
115           8 2.081e-03       99.95
116           4 1.041e-03       99.95
117           4 1.041e-03       99.95
118           5 1.301e-03       99.95
119           4 1.041e-03       99.96
120           6 1.561e-03       99.96
121           5 1.301e-03       99.96
122           2 5.204e-04       99.96
123           3 7.806e-04       99.96
124           4 1.041e-03       99.96
125           2 5.204e-04       99.96
126           2 5.204e-04       99.96
127           2 5.204e-04       99.96
128           3 7.806e-04       99.96
129           1 2.602e-04       99.96
130           4 1.041e-03       99.96
131           3 7.806e-04       99.97
133           1 2.602e-04       99.97
